gen,max_r2,avg_r2,std_r2,best_n_features,elapsed_sec
0,0.1408115351511884,-0.19459284470571758,0.3210663661396438,34,31.95833158493042
1,0.16207637623764212,-0.1588321545677689,0.3404143296828913,33,14.470182657241821
2,0.19776698216685887,-0.04503541480112621,0.2904864233676443,26,14.443488359451294
3,0.19776698216685887,-0.02674520804563713,0.30990782338809786,26,13.908787250518799
4,0.23173904818535696,0.04448933803341673,0.2249214889221668,25,15.60278844833374
5,0.22720692195951256,0.04432742397159797,0.2706022745336791,25,17.923648357391357
6,0.23309622461111143,0.059999478397454606,0.29519195727988035,28,13.086777210235596
7,0.25014429252191406,0.08204514912235332,0.27906907691828237,35,18.654529333114624
8,0.2885068850436787,0.06203211582255211,0.33768150716758893,35,15.81365966796875
9,0.3153288620336848,0.11717238619414572,0.2891586622523004,33,16.286436557769775
10,0.3153288620336848,0.16049084609894873,0.26968886982713053,33,14.87973427772522
11,0.3459099612277017,0.11553884536879973,0.37386556093173107,32,16.889986276626587
12,0.3459099612277017,0.17259553735533892,0.300283112603099,32,16.257488012313843
13,0.3459099612277017,0.15591841542338444,0.3432739727456632,32,16.91320514678955
14,0.33478588442449686,0.17847495946113678,0.3248712061775042,32,18.11139416694641
15,0.33241892965303105,0.15371046586100237,0.38543027577646993,32,15.752687454223633
16,0.33415913096243927,0.22940402978071692,0.2836289431167247,32,17.19923710823059
17,0.3370528706306244,0.20202497059843824,0.35520804967809183,32,14.409883499145508
18,0.34433022472870506,0.21964222269467823,0.3359600438426222,32,16.663609981536865
19,0.34433022472870506,0.2383034690541599,0.31545577116389484,32,15.326480388641357
20,0.3474026056432611,0.3103217561798348,0.13390470741583216,25,15.900744199752808
21,0.3519546046062179,0.2648075057911978,0.2637815682986535,34,18.120066165924072
22,0.3572448412751564,0.226843965693454,0.3621906828496399,29,13.922595500946045
23,0.3593494052474299,0.2940244953490681,0.22969817489881103,37,14.722107172012329
24,0.3654583612246092,0.25205660479012665,0.2964276285075,32,15.9754478931427
25,0.3668471701431595,0.2314557098871669,0.36422447580482736,33,16.448333740234375
26,0.3649602957755677,0.2478068244049746,0.34449823373129207,33,15.737924575805664
27,0.3739159116519876,0.22336136978283608,0.38805903788503043,28,16.842064380645752
28,0.3755601432429394,0.20589094566069732,0.4246414495313386,28,14.370878219604492
29,0.38474721611507184,0.25209813842891743,0.36974605033790253,32,13.909661769866943
30,0.3868010778355111,0.26845024784346744,0.3487781672318535,32,15.80272626876831
31,0.3833623221171963,0.30057796753581617,0.27056159590925594,32,16.44744610786438
32,0.3856104680072094,0.2699746865322308,0.3503612382732965,32,14.400015830993652
33,0.384949884622809,0.30419061698291905,0.27482926979814404,32,15.436405658721924
34,0.38636295226786305,0.29948610197657993,0.2743731625082346,32,17.000292539596558
35,0.3886036862068764,0.322150379999333,0.2376473809616004,29,14.97236704826355
36,0.38917105388197976,0.2960806819033226,0.3010431249120756,29,14.130646705627441
37,0.3901298213266566,0.3282506347586146,0.201539752191567,31,14.497045755386353
38,0.3908261711362535,0.3486499553612573,0.14959099005742377,30,14.166975259780884
39,0.39094115038790295,0.34795118359641053,0.14797530254337798,29,14.955523252487183
40,0.39094115038790295,0.3345827784072704,0.23844905271821587,29,12.763388633728027
41,0.39094115038790295,0.3369972293291944,0.20512074646143297,29,16.459513664245605
42,0.39094115038790295,0.35721389853316693,0.14844556342703744,29,13.205933332443237
43,0.39094115038790295,0.32782114545872587,0.2405859242702418,29,15.123375177383423
44,0.39094115038790295,0.31516108500364026,0.2442869919099688,29,14.563659429550171
45,0.39094115038790295,0.3325685773283071,0.23921558085157504,29,15.413678646087646
46,0.39094115038790295,0.3433828012045044,0.20036982433387088,29,14.974345922470093
47,0.39251814114935457,0.33873357359513373,0.20165649900041654,29,15.081323385238647
48,0.39094115038790295,0.3657847575658761,0.04998958509664124,29,16.098273754119873
49,0.39094115038790295,0.2967537389244253,0.329743105728631,29,14.695937395095825
50,0.3915823451130535,0.30463178430156085,0.3031428011444125,29,14.393434047698975
51,0.39362711654597726,0.35417897646335783,0.15570321437006568,32,16.39561104774475
52,0.4042884549089014,0.3763002278847244,0.05467939995852545,31,16.38507056236267
53,0.4043849984662691,0.36062410008270823,0.1484079942730167,30,16.15778636932373
54,0.4043849984662691,0.3457338495778647,0.2002564041516782,30,16.411221027374268
55,0.4060428945701406,0.31212415709513086,0.30511471399551315,30,15.304670810699463
56,0.4060428945701406,0.348974472231531,0.24018185770394246,30,17.837241888046265
57,0.4060428945701406,0.37475393026955295,0.1455183372872088,30,14.212514162063599
58,0.4060428945701406,0.34246224210712556,0.2754936511380183,30,15.07890248298645
59,0.4060428945701406,0.3452985602136163,0.24236954960018992,30,16.46574115753174
60,0.4060428945701406,0.355727887130755,0.20375083157709217,30,16.81491231918335
